year,region,country,permanent,temporary,irregular ,total,new_hires_2003,new_hires_2012
2004,Africa,Kenya,0,214,50,264,-,-
2004,Africa,Lesotho,30,155,30,215,-,-
2004,Africa,Liberia,20,94,30,144,-,-
2004,Africa,Libya,75,5440,490,6005,-,-
2004,Africa,Madagascar,0,77,0,77,-,-
2004,Africa,Malawi,0,70,10,80,-,-
2004,Africa,Mali,0,66,20,86,-,-
2004,Africa,Mauritania,0,12,0,12,-,-
2004,Africa,Mauritius,0,14,10,24,-,-
2004,Africa,Morocco,0,188,100,288,-,-
2004,Africa,Mozambique,35,82,50,167,-,-
2004,Africa,Namibia,45,653,200,898,-,-
2004,Africa,Nigeria ,18,11750,600,12368,-,-
2004,Africa,Rwanda,0,5,5,10,-,-
2004,Africa,Sao Tome and Principe,0,51,10,61,-,-
2004,Africa,Senegal,5,26,10,41,-,-
2004,Africa,Seychelles,0,364,100,464,-,-
2004,Africa,Sierra Leone,6,45,2,53,-,-
2004,Africa,Somalia,0,5,0,5,-,-
2004,Africa,South Africa,146,1431,500,2077,-,-
2004,Africa,Sudan,200,638,500,1338,-,-
2004,Africa,Swaziland,12,156,100,268,-,-
2004,Africa,Tanzania,0,40,50,90,-,-
2004,Africa,Togo,5,50,10,65,-,-
2004,Africa,Tunisia,0,35,20,55,-,-
2004,Africa,Uganda,0,77,20,97,-,-
2004,Africa,Zambia,5,98,150,253,-,-
2004,Africa,Zimbabwe,6,95,50,151,-,-
2004,East and South Asia,East and South Asia Total,95310,801521,434312,1331143,-,-
2004,East and South Asia,Afghanistan,0,500,300,800,-,-
2004,East and South Asia,Bangladesh,28,429,70,527,-,-
2004,East and South Asia,Bhutan,0,4,2,6,-,-
2004,East and South Asia,Brunei,26,21762,1700,23488,-,-
2004,East and South Asia,Cambodia,6,719,600,1325,-,-
2004,East and South Asia,China,360,7991,4000,12351,-,-
2004,East and South Asia,Hong Kong,404,194241,2700,197345,-,-
2004,East and South Asia,India,176,300,300,776,-,-
2004,East and South Asia,Indonesia,317,8426,500,9243,-,-
2004,East and South Asia,Japan,83303,238522,31430,353255,-,-
2004,East and South Asia,Kazakhstan,0,450,100,550,-,-
2004,East and South Asia,North Korea,0,5,10,15,-,-
2004,East and South Asia,South Korea,4850,33285,9015,47150,-,-
2004,East and South Asia,Kyrgyzstan,0,7,5,12,-,-
2004,East and South Asia,Laos,2,150,30,182,-,-
2004,East and South Asia,Macau,56,17391,1000,18447,-,-
2004,East and South Asia,Malaysia,313,52337,300000,352650,-,-
2004,East and South Asia,Maldives,18,346,500,864,-,-
2004,East and South Asia,Mongolia,0,44,20,64,-,-
2004,East and South Asia,Myanmar,57,278,150,485,-,-
2004,East and South Asia,Nepal,55,69,10,134,-,-
2004,East and South Asia,Pakistan,150,374,800,1324,-,-
2004,East and South Asia,Singapore,152,64337,72000,136489,-,-
2004,East and South Asia,Sri Lanka,0,605,200,805,-,-
2004,East and South Asia,Taiwan,2037,154135,4500,160672,-,-
2004,East and South Asia,Tajikistan,0,10,10,20,-,-
2004,East and South Asia,Thailand,3000,3627,3000,9627,-,-
2004,East and South Asia,Timor-Leste,0,146,300,446,-,-
2004,East and South Asia,Turkmenistan,0,185,50,235,-,-
2004,East and South Asia,Uzbekistan,0,49,10,59,-,-
2004,East and South Asia,Vietnam,0,797,1000,1797,-,-
2004,West Asia,West Asia Total,2078,1417422,102700,1522200,-,-
2004,West Asia,Bahrain,64,33154,3500,36718,-,-
2004,West Asia,Iran,800,350,2000,3150,-,-
2004,West Asia,Iraq,45,3373,2800,6218,-,-
2004,West Asia,Israel,104,14051,23000,37155,-,-
2004,West Asia,Jordan,108,5885,7000,12993,-,-
2004,West Asia,Kuwait,93,80196,11500,91789,-,-
2004,West Asia,Lebanon,19,28318,6100,34437,-,-
2004,West Asia,Oman,20,18941,1500,20461,-,-
2004,West Asia,Qatar,13,57345,1000,58358,-,-
2004,West Asia,Saudi Arabia,243,976134,18000,994377,-,-
2004,West Asia,Syria,134,13468,6000,19602,-,-
2004,West Asia,United Arab Emirates,405,185562,20000,205967,-,-
2004,West Asia,Yemen,30,665,300,995,-,-
2004,Europe,Europe Total,186966,234957,126149,548072,-,-
2004,Europe,Albania,0,4,2,6,-,-
2004,Europe,Andorra,0,636,50,686,-,-
2004,Europe,Armenia,0,12,0,12,-,-
2004,Europe,Austria,22017,1956,2000,25973,-,-
2004,Europe,Azerbaijan,300,350,400,1050,-,-
2004,Europe,"Baltic States (Estonia, Latvia, Lithuania)",0,20,2,22,-,-
2004,Europe,Belorussia (Belarus),0,14,3,17,-,-
2004,Europe,Belgium,3583,3484,5535,12602,-,-
2004,Europe,Bosnia and Herzegovina,2,16,2,20,-,-
